study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,c14_age,c14_age_sd,c14_material,delta_c13,marker_date,marker_type,age_min,age_max,cs137_peak_present,marker_date_sd
Gerlach_et_al_2017,Long_Island,LI_15_5D,12,13,NA,0.17,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,13,14,NA,0.13,0.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,14,15,NA,0.118,0.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,15,16,NA,0.126,0.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,16,17,NA,0.093,0.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,17,18,NA,0.08,0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,18,19,NA,0.139,0.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,19,20,NA,0.117,0.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,20,21,NA,0.167,0.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,21,22,NA,0.143,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,22,23,NA,0.161,0.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,23,24,NA,0.127,0.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,24,25,NA,0.139,0.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,25,26,NA,0.131,0.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,26,27,NA,0.104,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,27,28,NA,0.11,0.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,28,29,NA,0.137,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,29,30,NA,0.102,0.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,30,31,NA,0.129,0.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,31,32,NA,0.125,0.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,32,33,NA,0.166,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,33,34,NA,0.198,0.557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,34,35,NA,0.22,0.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,35,36,NA,0.137,0.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,36,37,NA,0.176,0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,37,38,NA,0.146,0.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,38,39,NA,0.145,0.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,39,40,NA,0.181,0.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,40,41,NA,0.196,0.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,41,42,NA,0.166,0.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,42,43,NA,0.188,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,43,44,NA,0.146,0.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,44,45,NA,0.161,0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,45,46,NA,0.171,0.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,46,47,NA,0.172,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,47,48,NA,0.208,0.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,48,49,NA,0.127,0.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,49,50,NA,0.167,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,50,51,NA,0.115,0.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,51,52,NA,0.101,0.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,52,53,NA,0.126,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,53,54,NA,0.149,0.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,54,55,NA,0.137,0.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,55,56,NA,0.139,0.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,56,57,NA,0.136,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,57,58,NA,0.087,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,58,59,NA,0.13,0.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,59,60,NA,0.108,0.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,60,61,NA,0.129,0.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,61,62,NA,0.164,0.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,62,63,NA,0.171,0.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,63,64,NA,0.127,0.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,64,65,NA,0.143,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,65,66,NA,0.127,0.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,66,67,NA,0.1,0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,67,68,NA,0.129,0.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,68,69,NA,0.111,0.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,69,70,NA,0.129,0.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,70,71,NA,0.132,0.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,71,72,NA,0.13,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,72,73,NA,0.138,0.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,73,74,NA,0.124,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,74,75,NA,0.131,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,75,76,NA,0.121,0.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,76,77,NA,0.157,0.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,77,78,NA,0.186,0.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,78,79,NA,0.202,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,79,80,NA,0.279,0.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,80,81,NA,0.284,0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,81,82,NA,0.567,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,82,83,NA,1.107,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,83,84,NA,1.232,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,84,85,NA,0.572,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,85,86,NA,0.866,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,86,87,NA,0.914,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,87,88,NA,1.039,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,88,89,NA,0.943,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,89,90,NA,0.808,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,90,91,NA,1.406,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,91,92,NA,1.164,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,92,93,NA,1.318,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,93,94,NA,1.454,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,94,95,NA,1.35,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,95,96,NA,1.132,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,96,97,NA,1.297,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,97,98,NA,1.434,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,98,99,NA,1.562,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,99,100,NA,1.378,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,100,101,NA,1.451,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,101,102,NA,1.525,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,102,103,NA,1.533,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,103,104,NA,1.314,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,104,105,NA,1.064,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,105,106,NA,0.859,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,106,107,NA,0.916,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,107,108,NA,1.243,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,108,109,NA,1.2,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,109,110,NA,0.994,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,110,111,NA,1.002,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,111,112,NA,1.192,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,112,113,NA,0.958,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,113,114,NA,0.954,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,114,115,NA,1.099,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,115,116,NA,1.228,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,116,117,NA,1.082,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,117,118,NA,0.918,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,118,119,NA,0.804,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,119,120,NA,0.979,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,120,121,NA,1.008,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,121,122,NA,1.04,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,122,123,NA,1.114,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,123,124,NA,1.055,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,124,125,NA,0.699,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,125,126,NA,0.532,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,126,127,NA,0.739,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,127,128,NA,0.664,0.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,128,129,NA,0.598,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,129,130,NA,0.461,0.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,130,131,NA,1.008,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,131,132,NA,1.291,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,132,133,NA,1.068,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,133,134,NA,0.925,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,134,135,NA,1.092,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,135,136,NA,0.734,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,136,137,NA,0.843,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,137,138,NA,0.792,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,138,139,NA,0.879,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,139,140,NA,1.199,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,140,141,NA,0.981,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,141,142,NA,1.008,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,142,143,NA,1.083,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,143,144,NA,1.376,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,144,145,NA,1.163,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,145,146,NA,1.059,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,146,147,NA,1.287,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,147,148,NA,1.139,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,148,149,NA,1.06,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,149,150,NA,0.997,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,150,151,NA,0.985,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,151,152,NA,1.294,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,152,153,NA,1.034,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,153,154,NA,0.932,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,154,155,NA,0.941,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,155,156,NA,0.861,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,156,157,NA,0.878,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,157,158,NA,0.847,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,158,159,NA,1.167,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,159,160,NA,0.591,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Long_Island,LI_15_5D,160,161,NA,1.409,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,0,1,NA,0.265,0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,1,2,NA,0.133,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,2,3,NA,0.279,0.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,3,4,NA,0.213,0.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,4,5,NA,0.216,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,5,6,NA,0.326,0.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,6,7,NA,0.281,0.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2018,Mill_Bayou,LMR_14_9B,6,6,NA,NA,NA,NA,NA,NA,NA,1974,Peak concentration of lead before Clean Air Act.,NA,NA,NA,5
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,7,8,NA,0.252,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2019,Mill_Bayou,LMR_14_9B,7,11,NA,NA,NA,NA,NA,NA,NA,1955,"Onset of increased arsenic concentration due to use of arsenic-bearing compounds as herbicides for citrus fruit groves, laws, and golf courses.",NA,NA,NA,5
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,8,9,NA,0.248,0.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2020,Mill_Bayou,LMR_14_9B,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,9,10,NA,0.227,0.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,10,11,NA,0.276,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,11,12,NA,0.333,0.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,11,16,NA,NA,NA,NA,NA,NA,NA,1930,Initial increase of lead concentrations due to introduction of leaded gasoline and increased private ownership of motor vehicles in western Florida.,NA,NA,NA,5
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,12,13,NA,0.213,0.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,13,14,NA,0.237,0.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,14,15,NA,0.232,0.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,15,16,NA,0.215,0.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,16,17,NA,0.178,0.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,17,18,NA,0.165,0.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,18,19,NA,0.183,0.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,19,20,NA,0.167,0.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2021,Mill_Bayou,LMR_14_9B,19,25,NA,NA,NA,NA,NA,NA,NA,1905,First reliable observation of introduced ornamental Casuarina pollen.,NA,NA,NA,10
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,20,21,NA,0.188,0.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,21,22,NA,0.185,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
