study_id,core_id,impact_class,site_id
Cochran_et_al_1998,Caumsett_Park,NA,NA
Cochran_et_al_1998,Flax_Pond,NA,NA
Cochran_et_al_1998,Goose_Creek,NA,NA
Cochran_et_al_1998,Hunter_Island,NA,NA
Cochran_et_al_1998,Shelter_Island,NA,NA
Noe_et_al_2013,S1AL,natural,NA
Noe_et_al_2013,S1AU,natural,NA
Noe_et_al_2013,S1BL,natural,NA
Noe_et_al_2013,S1BU,natural,NA
Noe_et_al_2013,S1CL,natural,NA
Noe_et_al_2013,S1CU,natural,NA
Noe_et_al_2013,S2A,salt impacted,NA
Noe_et_al_2013,S2B,salt impacted,NA
Noe_et_al_2013,S2C,salt impacted,NA
Noe_et_al_2013,S3A,salt impacted,NA
Noe_et_al_2013,S3B,salt impacted,NA
Noe_et_al_2013,S3C,salt impacted,NA
Noe_et_al_2013,S4A,natural,NA
Noe_et_al_2013,S4B,natural,NA
Noe_et_al_2013,S4C,natural,NA
Noe_et_al_2013,W1AL,natural,NA
Noe_et_al_2013,W1AU,natural,NA
Noe_et_al_2013,W1BL,natural,NA
Noe_et_al_2013,W1BU,natural,NA
Noe_et_al_2013,W1CL,natural,NA
Noe_et_al_2013,W1CU,natural,NA
Noe_et_al_2013,W2A,salt impacted,NA
Noe_et_al_2013,W2B,salt impacted,NA
Noe_et_al_2013,W2C,salt impacted,NA
Noe_et_al_2013,W3A,salt impacted,NA
Noe_et_al_2013,W3B,salt impacted,NA
Noe_et_al_2013,W3C,salt impacted,NA
Noe_et_al_2013,W4A,natural,NA
Noe_et_al_2013,W4B,natural,NA
Noe_et_al_2013,W4C,natural,NA
Craft_2007,Altamaha_River_Site_7_Levee,NA,NA
Craft_2007,Altamaha_River_Site_7_Plain,NA,NA
Craft_2007,Altamaha_River_Site_8_Levee,NA,NA
Craft_2007,Altamaha_River_Site_8_Plain,NA,NA
Craft_2007,Altamaha_River_Site_9_Levee,NA,NA
Craft_2007,Altamaha_River_Site_9_Plain,NA,NA
Craft_2007,Doboy_Sound_Site_4_Levee,NA,NA
Craft_2007,Doboy_Sound_Site_4_Plain,NA,NA
Craft_2007,Doboy_Sound_Site_5_Levee,NA,NA
Craft_2007,Doboy_Sound_Site_5_Plain,NA,NA
Craft_2007,Doboy_Sound_Site_6_Levee,NA,NA
Craft_2007,Doboy_Sound_Site_6_Plain,NA,NA
Craft_2007,Sapelo_River_Site_1_Levee,NA,NA
Craft_2007,Sapelo_River_Site_1_Plain,NA,NA
Craft_2007,Sapelo_River_Site_2_Levee,NA,NA
Craft_2007,Sapelo_River_Site_2_Plain,NA,NA
Craft_2007,Sapelo_River_Site_3_Levee,NA,NA
Craft_2007,Sapelo_River_Site_3_Plain,NA,NA
CRMS_Database,CRMS0658_1,NA,NA
CRMS_Database,CRMS0658_2,NA,NA
CRMS_Database,CRMS0658_3,NA,NA
CRMS_Database,CRMS0697_1,NA,NA
CRMS_Database,CRMS0697_2,NA,NA
CRMS_Database,CRMS0697_3,NA,NA
CRMS_Database,CRMS0581_1,NA,NA
CRMS_Database,CRMS0581_2,NA,NA
CRMS_Database,CRMS0581_3,NA,NA
CRMS_Database,CRMS0584_1,NA,NA
CRMS_Database,CRMS0584_2,NA,NA
CRMS_Database,CRMS0584_3,NA,NA
CRMS_Database,CRMS0587_1,NA,NA
CRMS_Database,CRMS0587_2,NA,NA
CRMS_Database,CRMS0587_3,NA,NA
CRMS_Database,CRMS0588_1,NA,NA
CRMS_Database,CRMS0588_2,NA,NA
CRMS_Database,CRMS0588_3,NA,NA
CRMS_Database,CRMS0589_1,NA,NA
CRMS_Database,CRMS0589_2,NA,NA
CRMS_Database,CRMS0589_3,NA,NA
CRMS_Database,CRMS0599_1,NA,NA
CRMS_Database,CRMS0599_2,NA,NA
CRMS_Database,CRMS0599_3,NA,NA
CRMS_Database,CRMS0608_1,NA,NA
CRMS_Database,CRMS0608_2,NA,NA
CRMS_Database,CRMS0608_3,NA,NA
CRMS_Database,CRMS0610_1,NA,NA
CRMS_Database,CRMS0610_2,NA,NA
CRMS_Database,CRMS0610_3,NA,NA
CRMS_Database,CRMS0614_1,NA,NA
CRMS_Database,CRMS0614_2,NA,NA
CRMS_Database,CRMS0614_3,NA,NA
CRMS_Database,CRMS0615_1,NA,NA
CRMS_Database,CRMS0615_2,NA,NA
CRMS_Database,CRMS0615_3,NA,NA
CRMS_Database,CRMS0622_1,NA,NA
CRMS_Database,CRMS0622_2,NA,NA
CRMS_Database,CRMS0622_3,NA,NA
CRMS_Database,CRMS0635_1,NA,NA
CRMS_Database,CRMS0635_2,NA,NA
CRMS_Database,CRMS0635_3,NA,NA
CRMS_Database,CRMS0638_1,NA,NA
CRMS_Database,CRMS0638_2,NA,NA
CRMS_Database,CRMS0638_3,NA,NA
CRMS_Database,CRMS0639_1,NA,NA
CRMS_Database,CRMS0639_2,NA,NA
CRMS_Database,CRMS0639_3,NA,NA
CRMS_Database,CRMS0641_1,NA,NA
CRMS_Database,CRMS0641_2,NA,NA
CRMS_Database,CRMS0641_3,NA,NA
CRMS_Database,CRMS0642_1,NA,NA
CRMS_Database,CRMS0642_2,NA,NA
CRMS_Database,CRMS0642_3,NA,NA
CRMS_Database,CRMS0644_1,NA,NA
CRMS_Database,CRMS0644_2,NA,NA
CRMS_Database,CRMS0644_3,NA,NA
CRMS_Database,CRMS0645_1,NA,NA
CRMS_Database,CRMS0645_2,NA,NA
CRMS_Database,CRMS0645_3,NA,NA
CRMS_Database,CRMS0647_1,NA,NA
CRMS_Database,CRMS0647_2,NA,NA
CRMS_Database,CRMS0647_3,NA,NA
CRMS_Database,CRMS0648_1,NA,NA
CRMS_Database,CRMS0648_2,NA,NA
CRMS_Database,CRMS0648_3,NA,NA
CRMS_Database,CRMS0650_1,NA,NA
CRMS_Database,CRMS0650_2,NA,NA
CRMS_Database,CRMS0650_3,NA,NA
CRMS_Database,CRMS0651_1,NA,NA
CRMS_Database,CRMS0651_2,NA,NA
CRMS_Database,CRMS0651_3,NA,NA
CRMS_Database,CRMS0655_1,NA,NA
CRMS_Database,CRMS0655_2,NA,NA
CRMS_Database,CRMS0655_3,NA,NA
CRMS_Database,CRMS0656_1,NA,NA
CRMS_Database,CRMS0656_2,NA,NA
CRMS_Database,CRMS0656_3,NA,NA
CRMS_Database,CRMS0660_1,NA,NA
CRMS_Database,CRMS0660_2,NA,NA
CRMS_Database,CRMS0660_3,NA,NA
CRMS_Database,CRMS0661_1,NA,NA
CRMS_Database,CRMS0661_2,NA,NA
CRMS_Database,CRMS0661_3,NA,NA
CRMS_Database,CRMS0662_1,NA,NA
CRMS_Database,CRMS0662_2,NA,NA
CRMS_Database,CRMS0662_3,NA,NA
CRMS_Database,CRMS0663_1,NA,NA
CRMS_Database,CRMS0663_2,NA,NA
CRMS_Database,CRMS0663_3,NA,NA
CRMS_Database,CRMS0665_1,NA,NA
CRMS_Database,CRMS0665_2,NA,NA
CRMS_Database,CRMS0665_3,NA,NA
CRMS_Database,CRMS0669_1,NA,NA
CRMS_Database,CRMS0669_2,NA,NA
CRMS_Database,CRMS0669_3,NA,NA
CRMS_Database,CRMS0672_1,NA,NA
CRMS_Database,CRMS0672_2,NA,NA
CRMS_Database,CRMS0672_3,NA,NA
CRMS_Database,CRMS0677_1,NA,NA
CRMS_Database,CRMS0677_2,NA,NA
CRMS_Database,CRMS0677_3,NA,NA
CRMS_Database,CRMS0680_1,NA,NA
CRMS_Database,CRMS0680_2,NA,NA
CRMS_Database,CRMS0680_3,NA,NA
CRMS_Database,CRMS0682_1,NA,NA
CRMS_Database,CRMS0682_2,NA,NA
CRMS_Database,CRMS0682_3,NA,NA
CRMS_Database,CRMS0683_1,NA,NA
CRMS_Database,CRMS0683_2,NA,NA
CRMS_Database,CRMS0683_3,NA,NA
CRMS_Database,CRMS0684_1,NA,NA
CRMS_Database,CRMS0684_2,NA,NA
CRMS_Database,CRMS0684_3,NA,NA
CRMS_Database,CRMS0685_1,NA,NA
CRMS_Database,CRMS0685_2,NA,NA
CRMS_Database,CRMS0685_3,NA,NA
CRMS_Database,CRMS0687_1,NA,NA
CRMS_Database,CRMS0687_2,NA,NA
CRMS_Database,CRMS0687_3,NA,NA
CRMS_Database,CRMS1205_1,NA,NA
CRMS_Database,CRMS1205_2,NA,NA
CRMS_Database,CRMS1205_3,NA,NA
CRMS_Database,CRMS1409_1,NA,NA
CRMS_Database,CRMS1409_2,NA,NA
CRMS_Database,CRMS1409_3,NA,NA
CRMS_Database,CRMS1738_1,NA,NA
CRMS_Database,CRMS1738_2,NA,NA
CRMS_Database,CRMS1738_3,NA,NA
CRMS_Database,CRMS1743_1,NA,NA
CRMS_Database,CRMS1743_2,NA,NA
CRMS_Database,CRMS1743_3,NA,NA
CRMS_Database,CRMS1838_1,NA,NA
CRMS_Database,CRMS1838_2,NA,NA
CRMS_Database,CRMS1838_3,NA,NA
CRMS_Database,CRMS1858_1,NA,NA
CRMS_Database,CRMS1858_2,NA,NA
CRMS_Database,CRMS1858_3,NA,NA
CRMS_Database,CRMS2154_1,NA,NA
CRMS_Database,CRMS2154_2,NA,NA
CRMS_Database,CRMS2154_3,NA,NA
CRMS_Database,CRMS2156_1,NA,NA
CRMS_Database,CRMS2156_2,NA,NA
CRMS_Database,CRMS2156_3,NA,NA
CRMS_Database,CRMS2166_1,NA,NA
CRMS_Database,CRMS2166_2,NA,NA
CRMS_Database,CRMS2166_3,NA,NA
CRMS_Database,CRMS2189_1,NA,NA
CRMS_Database,CRMS2189_2,NA,NA
CRMS_Database,CRMS2189_3,NA,NA
CRMS_Database,CRMS2219_1,NA,NA
CRMS_Database,CRMS2219_2,NA,NA
CRMS_Database,CRMS2219_3,NA,NA
CRMS_Database,CRMS2334_1,NA,NA
CRMS_Database,CRMS2334_2,NA,NA
CRMS_Database,CRMS2334_3,NA,NA
CRMS_Database,CRMS2418_1,NA,NA
CRMS_Database,CRMS2418_2,NA,NA
CRMS_Database,CRMS2418_3,NA,NA
CRMS_Database,CRMS6301_1,NA,NA
CRMS_Database,CRMS6301_2,NA,NA
CRMS_Database,CRMS6301_3,NA,NA
CRMS_Database,CRMS0498_1,NA,NA
CRMS_Database,CRMS0498_2,NA,NA
CRMS_Database,CRMS0498_3,NA,NA
CRMS_Database,CRMS0499_1,NA,NA
CRMS_Database,CRMS0499_2,NA,NA
CRMS_Database,CRMS0499_3,NA,NA
CRMS_Database,CRMS0504_1,NA,NA
CRMS_Database,CRMS0504_2,NA,NA
CRMS_Database,CRMS0504_3,NA,NA
CRMS_Database,CRMS0511_1,NA,NA
CRMS_Database,CRMS0511_2,NA,NA
CRMS_Database,CRMS0511_3,NA,NA
CRMS_Database,CRMS0514_1,NA,NA
CRMS_Database,CRMS0514_2,NA,NA
CRMS_Database,CRMS0514_3,NA,NA
CRMS_Database,CRMS0520_1,NA,NA
CRMS_Database,CRMS0520_2,NA,NA
CRMS_Database,CRMS0520_3,NA,NA
CRMS_Database,CRMS0522_1,NA,NA
CRMS_Database,CRMS0522_2,NA,NA
CRMS_Database,CRMS0522_3,NA,NA
CRMS_Database,CRMS0523_1,NA,NA
CRMS_Database,CRMS0523_2,NA,NA
CRMS_Database,CRMS0523_3,NA,NA
CRMS_Database,CRMS0524_1,NA,NA
CRMS_Database,CRMS0524_2,NA,NA
CRMS_Database,CRMS0524_3,NA,NA
CRMS_Database,CRMS0529_1,NA,NA
CRMS_Database,CRMS0529_2,NA,NA
CRMS_Database,CRMS0529_3,NA,NA
CRMS_Database,CRMS0530_1,NA,NA
CRMS_Database,CRMS0530_2,NA,NA
CRMS_Database,CRMS0530_3,NA,NA
CRMS_Database,CRMS0531_1,NA,NA
CRMS_Database,CRMS0531_2,NA,NA
CRMS_Database,CRMS0531_3,NA,NA
CRMS_Database,CRMS0532_1,NA,NA
CRMS_Database,CRMS0532_2,NA,NA
CRMS_Database,CRMS0532_3,NA,NA
CRMS_Database,CRMS0549_1,NA,NA
CRMS_Database,CRMS0549_2,NA,NA
CRMS_Database,CRMS0549_3,NA,NA
CRMS_Database,CRMS0220_1,NA,NA
CRMS_Database,CRMS0220_2,NA,NA
CRMS_Database,CRMS0220_3,NA,NA
CRMS_Database,CRMS0225_1,NA,NA
CRMS_Database,CRMS0225_2,NA,NA
CRMS_Database,CRMS0225_3,NA,NA
CRMS_Database,CRMS0232_1,NA,NA
CRMS_Database,CRMS0232_2,NA,NA
CRMS_Database,CRMS0232_3,NA,NA
CRMS_Database,CRMS0248_1,NA,NA
CRMS_Database,CRMS0248_2,NA,NA
CRMS_Database,CRMS0248_3,NA,NA
CRMS_Database,CRMS0251_1,NA,NA
CRMS_Database,CRMS0251_2,NA,NA
CRMS_Database,CRMS0251_3,NA,NA
CRMS_Database,CRMS0253_1,NA,NA
CRMS_Database,CRMS0253_2,NA,NA
CRMS_Database,CRMS0253_3,NA,NA
CRMS_Database,CRMS0261_1,NA,NA
CRMS_Database,CRMS0261_2,NA,NA
CRMS_Database,CRMS0261_3,NA,NA
CRMS_Database,CRMS3565_1,NA,NA
CRMS_Database,CRMS3565_2,NA,NA
CRMS_Database,CRMS3565_3,NA,NA
CRMS_Database,CRMS3985_1,NA,NA
CRMS_Database,CRMS3985_2,NA,NA
CRMS_Database,CRMS3985_3,NA,NA
CRMS_Database,CRMS4103_1,NA,NA
CRMS_Database,CRMS4103_2,NA,NA
CRMS_Database,CRMS4103_3,NA,NA
CRMS_Database,CRMS4218_1,NA,NA
CRMS_Database,CRMS4218_2,NA,NA
CRMS_Database,CRMS4218_3,NA,NA
CRMS_Database,CRMS4245_1,NA,NA
CRMS_Database,CRMS4245_2,NA,NA
CRMS_Database,CRMS4245_3,NA,NA
CRMS_Database,CRMS4690_1,NA,NA
CRMS_Database,CRMS4690_2,NA,NA
CRMS_Database,CRMS4690_3,NA,NA
CRMS_Database,CRMS0164_1,NA,NA
CRMS_Database,CRMS0164_2,NA,NA
CRMS_Database,CRMS0164_3,NA,NA
CRMS_Database,CRMS0175_1,NA,NA
CRMS_Database,CRMS0175_2,NA,NA
CRMS_Database,CRMS0175_3,NA,NA
CRMS_Database,CRMS0178_1,NA,NA
CRMS_Database,CRMS0178_2,NA,NA
CRMS_Database,CRMS0178_3,NA,NA
CRMS_Database,CRMS0190_1,NA,NA
CRMS_Database,CRMS0190_2,NA,NA
CRMS_Database,CRMS0190_3,NA,NA
CRMS_Database,CRMS0292_1,NA,NA
CRMS_Database,CRMS0292_2,NA,NA
CRMS_Database,CRMS0292_3,NA,NA
CRMS_Database,CRMS0310_1,NA,NA
CRMS_Database,CRMS0310_2,NA,NA
CRMS_Database,CRMS0310_3,NA,NA
CRMS_Database,CRMS0312_1,NA,NA
CRMS_Database,CRMS0312_2,NA,NA
CRMS_Database,CRMS0312_3,NA,NA
CRMS_Database,CRMS0318_1,NA,NA
CRMS_Database,CRMS0318_2,NA,NA
CRMS_Database,CRMS0318_3,NA,NA
CRMS_Database,CRMS0319_1,NA,NA
CRMS_Database,CRMS0319_2,NA,NA
CRMS_Database,CRMS0319_3,NA,NA
CRMS_Database,CRMS0335_1,NA,NA
CRMS_Database,CRMS0335_2,NA,NA
CRMS_Database,CRMS0335_3,NA,NA
CRMS_Database,CRMS0337_1,NA,NA
CRMS_Database,CRMS0337_2,NA,NA
CRMS_Database,CRMS0337_3,NA,NA
CRMS_Database,CRMS0386_1,NA,NA
CRMS_Database,CRMS0386_2,NA,NA
CRMS_Database,CRMS0386_3,NA,NA
CRMS_Database,CRMS0387_1,NA,NA
CRMS_Database,CRMS0387_2,NA,NA
CRMS_Database,CRMS0387_3,NA,NA
CRMS_Database,CRMS0397_1,NA,NA
CRMS_Database,CRMS0397_2,NA,NA
CRMS_Database,CRMS0397_3,NA,NA
CRMS_Database,CRMS0400_1,NA,NA
CRMS_Database,CRMS0400_2,NA,NA
CRMS_Database,CRMS0400_3,NA,NA
CRMS_Database,CRMS0416_1,NA,NA
CRMS_Database,CRMS0416_2,NA,NA
CRMS_Database,CRMS0416_3,NA,NA
CRMS_Database,CRMS0978_1,NA,NA
CRMS_Database,CRMS0978_2,NA,NA
CRMS_Database,CRMS0978_3,NA,NA
CRMS_Database,CRMS2825_1,NA,NA
CRMS_Database,CRMS2825_2,NA,NA
CRMS_Database,CRMS2825_3,NA,NA
CRMS_Database,CRMS6303_1,NA,NA
CRMS_Database,CRMS6303_2,NA,NA
CRMS_Database,CRMS6303_3,NA,NA
CRMS_Database,CRMS0002_1,NA,NA
CRMS_Database,CRMS0002_2,NA,NA
CRMS_Database,CRMS0002_3,NA,NA
CRMS_Database,CRMS3626_1,NA,NA
CRMS_Database,CRMS3626_2,NA,NA
CRMS_Database,CRMS3626_3,NA,NA
CRMS_Database,CRMS3650_1,NA,NA
CRMS_Database,CRMS3650_2,NA,NA
CRMS_Database,CRMS3650_3,NA,NA
CRMS_Database,CRMS3784_1,NA,NA
CRMS_Database,CRMS3784_2,NA,NA
CRMS_Database,CRMS3784_3,NA,NA
CRMS_Database,CRMS4107_1,NA,NA
CRMS_Database,CRMS4107_2,NA,NA
CRMS_Database,CRMS4107_3,NA,NA
CRMS_Database,CRMS0114_1,NA,NA
CRMS_Database,CRMS0114_2,NA,NA
CRMS_Database,CRMS0114_3,NA,NA
CRMS_Database,CRMS0115_1,NA,NA
CRMS_Database,CRMS0115_2,NA,NA
CRMS_Database,CRMS0115_3,NA,NA
CRMS_Database,CRMS0117_1,NA,NA
CRMS_Database,CRMS0117_2,NA,NA
CRMS_Database,CRMS0117_3,NA,NA
CRMS_Database,CRMS0118_1,NA,NA
CRMS_Database,CRMS0118_2,NA,NA
CRMS_Database,CRMS0118_3,NA,NA
CRMS_Database,CRMS0119_1,NA,NA
CRMS_Database,CRMS0119_2,NA,NA
CRMS_Database,CRMS0119_3,NA,NA
CRMS_Database,CRMS0121_1,NA,NA
CRMS_Database,CRMS0121_2,NA,NA
CRMS_Database,CRMS0121_3,NA,NA
CRMS_Database,CRMS0125_1,NA,NA
CRMS_Database,CRMS0125_2,NA,NA
CRMS_Database,CRMS0125_3,NA,NA
CRMS_Database,CRMS0128_1,NA,NA
CRMS_Database,CRMS0128_2,NA,NA
CRMS_Database,CRMS0128_3,NA,NA
CRMS_Database,CRMS0129_1,NA,NA
CRMS_Database,CRMS0129_2,NA,NA
CRMS_Database,CRMS0129_3,NA,NA
CRMS_Database,CRMS0131_1,NA,NA
CRMS_Database,CRMS0131_2,NA,NA
CRMS_Database,CRMS0131_3,NA,NA
CRMS_Database,CRMS0132_1,NA,NA
CRMS_Database,CRMS0132_2,NA,NA
CRMS_Database,CRMS0132_3,NA,NA
CRMS_Database,CRMS0135_1,NA,NA
CRMS_Database,CRMS0135_2,NA,NA
CRMS_Database,CRMS0135_3,NA,NA
CRMS_Database,CRMS0136_1,NA,NA
CRMS_Database,CRMS0136_2,NA,NA
CRMS_Database,CRMS0136_3,NA,NA
CRMS_Database,CRMS0139_1,NA,NA
CRMS_Database,CRMS0139_2,NA,NA
CRMS_Database,CRMS0139_3,NA,NA
CRMS_Database,CRMS0146_1,NA,NA
CRMS_Database,CRMS0146_2,NA,NA
CRMS_Database,CRMS0146_3,NA,NA
CRMS_Database,CRMS0147_1,NA,NA
CRMS_Database,CRMS0147_2,NA,NA
CRMS_Database,CRMS0147_3,NA,NA
CRMS_Database,CRMS0148_1,NA,NA
CRMS_Database,CRMS0148_2,NA,NA
CRMS_Database,CRMS0148_3,NA,NA
CRMS_Database,CRMS0154_1,NA,NA
CRMS_Database,CRMS0154_2,NA,NA
CRMS_Database,CRMS0154_3,NA,NA
CRMS_Database,CRMS0156_1,NA,NA
CRMS_Database,CRMS0156_2,NA,NA
CRMS_Database,CRMS0156_3,NA,NA
CRMS_Database,CRMS0157_1,NA,NA
CRMS_Database,CRMS0157_2,NA,NA
CRMS_Database,CRMS0157_3,NA,NA
CRMS_Database,CRMS0159_1,NA,NA
CRMS_Database,CRMS0159_2,NA,NA
CRMS_Database,CRMS0159_3,NA,NA
CRMS_Database,CRMS0161_1,NA,NA
CRMS_Database,CRMS0161_2,NA,NA
CRMS_Database,CRMS0161_3,NA,NA
CRMS_Database,CRMS0162_1,NA,NA
CRMS_Database,CRMS0162_2,NA,NA
CRMS_Database,CRMS0162_3,NA,NA
CRMS_Database,CRMS0163_1,NA,NA
CRMS_Database,CRMS0163_2,NA,NA
CRMS_Database,CRMS0163_3,NA,NA
CRMS_Database,CRMS0171_1,NA,NA
CRMS_Database,CRMS0171_2,NA,NA
