study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,compaction_fraction,c14_age,c14_age_sd,c14_material,c14_notes,age,age_min,age_max
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,94,95,NA,0.9148,0.121,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,104,105,NA,1.0408,0.12300000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,114,115,NA,1.0459,0.09759999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,124,125,NA,1.4525,0.0926,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,131,132,NA,1.2569,0.106,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,132,133,NA,0.9268,0.109,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,133,134,NA,1.2086,0.11199999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,134,135,NA,1.236,0.111,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,136,137,NA,1.0019,0.128,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,137,138,NA,1.1587,0.127,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,138,139,NA,1.1781,0.14300000000000002,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,139,140,NA,1.8854,0.14800000000000002,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,141,142,NA,1.0717,0.153,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,142,143,NA,1.8934,0.154,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,143,144,NA,1.2255,0.168,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,144,145,NA,0.7588,0.18600000000000003,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,146,147,NA,1.0692,0.155,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,147,148,NA,1.1408,0.153,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,148,149,NA,1.1207,0.162,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,149,150,NA,1.4671,0.175,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,154,155,NA,1.07,0.213,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,164,165,NA,0.9732,0.18,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,174,175,NA,1.401,0.14800000000000002,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,184,185,NA,1.4352,0.133,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,194,195,NA,0.971,0.17,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,201,202,NA,1.4202,0.19899999999999998,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,203,204,NA,1.2752,0.098,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,211,212,NA,0.9231,0.115,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,214,215,NA,0.7383,0.251,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,221,222,NA,1.1032,0.0964,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,224,225,NA,0.9662,0.19399999999999998,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,231,232,NA,0.7037,0.187,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,234,235,NA,1.0762,0.19,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,241,242,NA,1.0302,0.133,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,244,245,NA,1.1128,0.135,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,251,252,NA,1.3296,0.107,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,254,255,NA,1.1554,0.10099999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,261,262,NA,0.6146,0.12,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,264,265,NA,0.3776,0.281,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,271,272,NA,0.6928,0.20800000000000002,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,274,275,NA,1.0634,0.203,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,281,282,NA,0.6287,0.23800000000000002,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,284,285,NA,1.2574,0.158,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,291,292,NA,1.081,0.235,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low_River,savannah_low_1,294,295,NA,1.3722,0.24100000000000002,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_2,0,1,NA,0.4019,0.1418,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_2,4,5,NA,0.2046,0.4888,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_2,10,11,NA,0.2229,0.45039999999999997,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_2,14,15,NA,0.2261,0.4777,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_2,20,21,NA,0.1876,0.5267000000000001,NA,90,30,"bulk organic, picked free of roots",NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_2,24,25,NA,0.438066667,0.1545,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_2,30,31,NA,0.7716,0.0851,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_2,34,35,NA,0.8217,0.0802,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_2,40,41,NA,1.1121,0.0645,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_2,44,45,NA,1.0999,0.0662,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_2,50,51,NA,1.0579,0.076,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_2,54,55,NA,0.8021,0.09820000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_2,60,61,NA,0.626466667,0.08560000000000001,NA,1100,30,"bulk organic, picked free of roots",NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_2,65,66,NA,1.1076,0.046,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_2,70,71,NA,0.3757,0.22149999999999997,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_2,75,76,NA,1.3596,0.0274,NA,930,30,"bulk organic, picked free of roots",NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,6,7,NA,0.1093,0.6038,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,9,10,NA,0.1498,0.44659999999999994,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,14,15,NA,0.2331,0.287,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,19,20,NA,0.1445,0.564,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,24,25,NA,0.1394,0.5516,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,29,30,NA,0.0872,0.6307,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,34,35,NA,0.104,0.4683,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,39,40,NA,0.155,0.4458,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,44,45,NA,0.1639,0.3215,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,49,50,NA,0.176,0.2983,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,54,55,NA,0.1534,0.3488,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,59,60,NA,0.239,0.2527,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,64,65,NA,0.2091,0.2329,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,69,70,NA,0.2524,0.1906,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,74,75,NA,0.2946,0.18969999999999998,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,79,80,NA,0.3923,0.1519,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,84,85,NA,0.2902,0.23329999999999998,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,89,90,NA,0.4672,0.1629,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,94,95,NA,0.4385,0.16079999999999997,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,99,100,NA,0.4149,0.1586,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,104,105,NA,0.4324,0.1378,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,109,110,NA,0.7976,0.1225,NA,160,30,"bulk organic, picked free of roots",NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,114,115,NA,0.793,0.11699999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,119,120,NA,0.7787,0.1124,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,124,125,NA,0.7397,0.1118,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,129,130,NA,0.6939,0.1045,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,132,133,NA,0.6636,0.1251,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,134,135,NA,0.8123,0.13269999999999998,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,136,137,NA,0.6829,0.1457,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,138,139,NA,0.5972,0.1442,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,142,143,NA,0.5148,0.22399999999999998,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,144,145,NA,0.336,0.2705,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,146,147,NA,0.4174,0.2655,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,149,150,NA,0.2541,0.2896,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,154,155,NA,0.1672,0.41450000000000004,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,159,160,NA,0.1681,0.3801,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,164,165,NA,0.1775,0.3899,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,169,170,NA,0.1841,0.3797,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,174,175,NA,0.1426,0.41229999999999994,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,179,180,NA,0.0322,1,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,184,185,NA,0.0864,0.6875,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,189,190,NA,0.1179,0.9372,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,194,195,NA,0.3267,0.2746,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,199,200,NA,0.2631,0.2452,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,204,205,NA,0.1694,0.48469999999999996,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,209,210,NA,0.2783,0.24789999999999998,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,214,215,NA,0.5024,0.1646,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,219,220,NA,0.4826,0.1643,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,224,225,NA,0.3314,0.2164,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,229,230,NA,0.3461,0.25739999999999996,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,234,235,NA,0.4582,0.1794,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,239,240,NA,0.4595,0.1843,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,244,245,NA,0.556,0.1572,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,249,250,NA,0.2702,0.2113,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,254,255,NA,0.2318,0.27699999999999997,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,259,260,NA,0.3527,0.2535,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,264,265,NA,0.3143,0.2475,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,269,270,NA,0.2824,0.2766,NA,3880,30,"bulk organic, picked free of roots",NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,274,275,NA,0.1329,0.3837,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,279,280,NA,0.2414,0.2457,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,284,285,NA,0.506,0.1366,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,289,290,NA,0.4967,0.1446,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,294,295,NA,0.3672,0.2162,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,299,300,NA,0.3576,0.2167,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,304,305,NA,0.3116,0.2263,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,309,310,NA,0.5459,0.1603,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,314,315,NA,0.3783,0.2191,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,319,320,NA,0.4058,0.1661,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,324,325,NA,0.4349,0.1833,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,329,330,NA,0.4638,0.1867,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,334,335,NA,0.5342,0.13949999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,339,340,NA,0.4371,0.20379999999999998,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,344,345,NA,0.2751,0.2814,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_mid_River,savannah_mid_1,349,350,NA,0.2163,0.42950000000000005,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,6,7,NA,0.565,0.2989,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,7,8,NA,0.3069,0.3024,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,11,12,NA,0.1855,0.3321,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,14,15,NA,0.1555,0.2521,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,16,17,NA,0.976,0.2095,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,18,19,NA,1.0177,0.2216,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,21,22,NA,0.824,0.1784,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,22,23,NA,1.2359,0.1814,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,24,25,NA,0.8679,0.1638,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,26,27,NA,1.749,0.1681,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,28,29,NA,1.0595,0.1646,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,29,30,NA,0.58,0.1379,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,35,36,NA,1.4134,0.1592,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,39,40,NA,0.54,0.11109999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,45,46,NA,0.9187,0.1353,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,49,50,NA,0.47,0.1489,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,55,56,NA,0.8372,0.1814,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,59,60,NA,0.34,0.1471,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,65,66,NA,1.5188,0.1751,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,69,70,NA,0.51,0.15689999999999998,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,75,76,NA,1.1931,0.1515,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,79,80,NA,0.66,0.12119999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,85,86,NA,1.2626,0.1109,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,89,90,NA,0.81,0.0617,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,95,96,NA,1.2798,0.08410000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,99,100,NA,0.4125,0.24239999999999998,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,105,106,NA,1.136,0.09029999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,109,110,NA,0.89,0.0787,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,115,116,NA,1.4108,0.079,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,119,120,NA,0.94,0.0638,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,125,126,NA,1.2642,0.0776,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,129,130,NA,0.84,0.07139999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,136,137,NA,1.4627,0.0787,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_high_River,savannah_high_1,139,140,NA,0.76,0.09210000000000002,NA,NA,NA,NA,NA,NA,NA,NA
