study_id,site_id,core_id,species_code,code_type,habitat
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-6,Spartina alterniflora,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C2-1,Spartina alterniflora,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C2-2,Distichlis spicata,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C2-3,Spartina alterniflora,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C2-4,Bulboschoenus robustus,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C2-4,Spartina alterniflora,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C2-5,Spartina alterniflora,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C2-6,Spartina alterniflora,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C3-1,Spartina alterniflora,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C3-2,Spartina alterniflora,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C3-3,Spartina alterniflora,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C3-4,Spartina alterniflora,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C3-5,Spartina alterniflora,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C3-6,Distichlis spicata,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C3-6,Spartina alterniflora,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C4-2,Spartina alterniflora,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,NR1-1,Bulboschoenus robustus,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,NR1-1,Spartina patens,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,NR1-2,Bulboschoenus robustus,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,NR1-2,Spartina patens,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,NR1-3,Spartina patens,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,NR2-1,Bulboschoenus robustus,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,NR2-1,Distichlis spicata,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,NR2-1,Spartina alterniflora,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,NR2-2,Bulboschoenus robustus,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,NR2-2,Distichlis spicata,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,NR2-3,Bulboschoenus robustus,Genus species,marsh
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,NR2-3,Distichlis spicata,Genus species,marsh
